Titolo;Autore;Author_;Genere;Vote;DateRead;Commento
Flatland: A Romance of Many Dimensions;Edwin A. Abbott;Abbott, Edwin A.;novel;;;
Dirk Gently's Holistic Detective Agency;Douglas Adams;Adams, Douglas;novel;;2019/01/07;
Guida Galattica per gli Autostoppisti: Una Trilogia in 5 parti;Douglas Adams;Adams, Douglas;novel;1;;Imprescindibile. non parlarmi se non l'hdev letto
Game Mechanics: Advanced Game Design;Ernest Adams, Joris Dormans;Adams, Ernest;gamedesign;;;
TED Talks: The official TED guide to public speaking: Tips and tricks for giving unforgettable speeches and presentations;Chris Anderson;Anderson, Chris;essay;;;
Missions for Thoughtful Gamers;Andrew Cutting;Andrew Cutting;gamedesign;;;
La didattica del futuro;Alessandra Annichini;Annichini;edu;;;
How to Archer: The Ultimate Guide to Espionage and Style and Women and Also Cocktails Ever Written;Sterling Archer;Archer, Sterling;essay;;2019/01/07;
Metafisica;Aristotele;Aristotele;classic;;;
Retorica;Aristotele;Aristotele;classic;1;;
Ciclo dei Robot;Isaac Asimov;Asimov, Isaac;novel;1;;
Ciclo dell'Impero;Isaac Asimov;Asimov, Isaac;novel;1;;
Ciclo delle Fondazioni;Isaac Asimov;Asimov, Isaac;novel;1;;
L’ultima domanda;Isaac Asimov;Asimov, Isaac;novel;1;;
Nemesis;Isaac Asimov;Asimov, Isaac;novel;;;
The Complete Adventures of Lucky Starr;Isaac Asimov;Asimov, Isaac;novel;;;
Almanacco dello Spazio;Paolo Attivissimo;Attivissimo, Paolo;essay;;;
Vita di Milarepa. I suoi delitti, le sue prove, la sua liberazione;Jacques Bacot;Bacot, Jacques;essay;;;
Dio c'è ma non esiste;Natalino Balasso;Balasso, Natalino;essay;;;
The Globotics Upheaval: Globalisation, Robotics and the Future of Work;Richard Baldwin;Baldwin;essay;;;
Bursts: The Hidden Pattern Behind Everything We Do;Albert-László Barabási;Barabási, Albert-László;essay;;;
Linked: The New Science Of Networks Science Of Networks;Albert-László Barabási, Jennifer Frangos;Barabási, Albert-László;essay;;;
Network Science;Albert-László Barabási;Barabási, Albert-László;essay;;;
Everything you need to know about life taught by a 3 year old;Peter Barbas;Barbas, Peter;essay;;;
The Game;Alessandro Baricco;Baricco, Alessandro;essay;1;;
Perché ci odiano;Paolo Barnard;Barnard;essay;;;
Our Final Invention: Artificial Intelligence and the End of the Human Era;James Barrat;Barrat, James;ai;;;
Cosmic Imagery: Key Images in the History of Science;John D. Barrow;Barrow, John D.;essay;;;
Impossibility - The Limits of Science and the Science of Limits;John D. Barrow;Barrow, John D.;essay;;;
New Theories of Everything;John D. Barrow;Barrow, John D.;essay;;;
The Artful Universe Expanded;John D. Barrow;Barrow, John D.;essay;1;;
